Sentence Number,Token Number,Text
22,5,events
22,6,of
22,7,Planet
22,8,of
22,9,the
22,10,Apes
22,11,take
22,12,place
23,0,Can
23,1,you
23,2,sing
23,3,the
23,4,chorus
23,5,of
23,6,the
23,7,folk
23,8,song
23,9,Ring
23,10,a
23,11,Ring
23,12,o'
23,13,Roses
24,0,What
24,1,is
24,2,the
24,3,genre
24,4,of
24,5,The
24,6,War
24,7,of
24,8,the
24,9,Worlds
25,0,What
25,1,architectural
25,2,style
25,3,is
25,4,the
25,5,Umayyad
25,6,Mosque
25,7,known
25,8,for
26,0,Where
26,1,can
26,2,you
26,3,watch
26,4,the
26,5,TV
26,6,series
26,7,The
26,8,Santa
26,9,Clauses
27,0,What
27,1,type
27,2,of
27,3,hill
27,4,is
27,5,Batu
27,6,Caves
27,7,made
27,8,of
28,0,What
28,1,does
28,2,the
28,3,Prophecy
28,4,of
28,5,the
28,6,Popes
28,7,supposedly
28,8,predict
29,0,Who
29,1,are
29,2,the
29,3,main
29,4,antagonistic
29,5,forces
29,6,in
29,7,the
29,8,World
29,9,of
29,10,Ice
29,11,and
29,12,Fire
30,0,What
30,1,is
30,2,the
30,3,genre
30,4,of
30,5,A
30,6,City
30,7,of
30,8,Sadness
31,0,What
31,1,is
31,2,the
31,3,genre
31,4,of
31,5,Gulliver's
31,6,Travels
32,0,Who
32,1,was
32,2,the
32,3,main
32,4,cast
32,5,of
32,6,The
32,7,Pillars
32,8,of
32,9,the
32,10,Earth
33,0,What
33,1,genre
33,2,does
33,3,The
33,4,Invisible
33,5,Man
33,6,belong
33,7,to
34,0,What
34,1,was
34,2,the
34,3,original
34,4,purpose
34,5,of
34,6,the
34,7,Cathedral
34,8,of
34,9,Christ
34,10,the
34,11,Saviour
35,0,How
35,1,do
35,2,you
35,3,eat
35,4,a
35,5,flat
35,6,peach
36,0,How
36,1,would
36,2,you
36,3,describe
36,4,The
36,5,Princess
36,6,and
36,7,the
36,8,Pea
36,9,in
36,10,one
36,11,word
37,0,What
37,1,is
37,2,the
37,3,historical
37,4,significance
37,5,of
37,6,the
37,7,Jerónimos
37,8,Monastery
38,0,What
38,1,is
38,2,the
38,3,significance
38,4,of
38,5,the
38,6,Basilica
38,7,of
38,8,Our
38,9,Lady
38,10,of
38,11,Guadalupe
38,12,in
38,13,Mexican
38,14,culture
39,0,Who
39,1,is
39,2,Mary
39,3,Princess
39,4,Royal
39,5,and
39,6,Countess
39,7,of
39,8,Harewood
40,0,Who
40,1,are
40,2,the
40,3,main
40,4,characters
40,5,in
40,6,the
40,7,movie
40,8,Little
40,9,Women
41,0,Who
41,1,are
41,2,the
41,3,main
41,4,actors
41,5,in
41,6,the
41,7,movie
41,8,Miracle
41,9,in
41,10,Cell
41,11,No
41,12,7
42,0,How
42,1,can
42,2,Welsh
42,3,onions
42,4,be
42,5,grown
42,6,and
42,7,harvested
42,8,in
42,9,home
42,10,gardens
43,0,What
43,1,is
43,2,the
43,3,genre
43,4,of
43,5,A
43,6,City
43,7,of
43,8,Sadness
44,0,How
44,1,would
44,2,you
44,3,describe
44,4,The
44,5,Princess
44,6,and
44,7,the
44,8,Pea
44,9,in
44,10,one
44,11,word
45,0,What
45,1,type
45,2,of
45,3,hill
45,4,is
45,5,Batu
45,6,Caves
45,7,made
45,8,of
46,0,Where
46,1,can
46,2,you
46,3,watch
46,4,the
46,5,TV
46,6,series
46,7,The
46,8,Santa
46,9,Clauses
47,0,Is
47,1,the
47,2,St
47,3,Matthew
47,4,Passion
47,5,a
47,6,sacred
47,7,oratorio
48,0,What
48,1,was
48,2,the
48,3,premise
48,4,of
48,5,the
48,6,TV
48,7,series
48,8,Family
48,9,Matters
49,0,What
49,1,instrument
49,2,is
49,3,the
49,4,suite
49,5,Pictures
49,6,at
49,7,an
49,8,Exhibition
49,9,written
49,10,for
50,0,What
50,1,is
50,2,the
50,3,genre
50,4,of
50,5,Gulliver's
50,6,Travels
51,0,Which
51,1,famous
51,2,catchphrase
51,3,is
51,4,associated
51,5,with
51,6,the
51,7,Simpson
51,8,family
52,0,According
52,1,to
52,2,the
52,3,Rabbins
52,4,what
52,5,could
52,6,Solomon
52,7,learn
52,8,from
52,9,the
52,10,Seal
52,11,of
52,12,Solomon
53,0,How
53,1,tall
53,2,is
53,3,the
53,4,Ostankino
53,5,Tower
53,6,in
53,7,Moscow
54,0,Can
54,1,you
54,2,provide
54,3,a
54,4,brief
54,5,summary
54,6,of
54,7,the
54,8,movie
54,9,The
54,10,Mask
54,11,of
54,12,Zorro
55,0,In
55,1,which
55,2,country
55,3,did
55,4,the
55,5,events
55,6,of
55,7,Planet
55,8,of
55,9,the
55,10,Apes
55,11,take
55,12,place
56,0,Where
56,1,is
56,2,Viktor
56,3,Yushchenko
56,4,from
57,0,What
57,1,genre
57,2,does
57,3,The
57,4,Invisible
57,5,Man
57,6,belong
57,7,to
58,0,Who
58,1,eventually
58,2,ended
58,3,up
58,4,with
58,5,the
58,6,Apple
58,7,of
58,8,Discord
58,9,and
58,10,why
59,0,Who
59,1,is
59,2,Mary
59,3,Princess
59,4,Royal
59,5,and
59,6,Countess
59,7,of
59,8,Harewood
60,0,What
60,1,is
60,2,the
60,3,genre
60,4,of
60,5,The
60,6,War
60,7,of
60,8,the
60,9,Worlds
61,0,Who
61,1,are
61,2,the
61,3,main
61,4,actors
61,5,in
61,6,the
61,7,movie
61,8,Miracle
61,9,in
61,10,Cell
61,11,No
61,12,7
62,0,What
62,1,is
62,2,the
62,3,genre
62,4,of
62,5,Gulliver's
62,6,Travels
63,0,How
63,1,long
63,2,was
63,3,Mary
63,4,of
63,5,Burgundy
63,6,married
63,7,to
63,8,Emperor
63,9,Maximilian
63,10,I
64,0,Who
64,1,were
64,2,the
64,3,main
64,4,composers
64,5,of
64,6,medieval
64,7,music
65,0,In
65,1,which
65,2,industry
65,3,does
65,4,Seishiro
65,5,Kato
65,6,work
66,0,What
66,1,genre
66,2,does
66,3,The
66,4,Invisible
66,5,Man
66,6,belong
66,7,to
67,0,Name
67,1,one
67,2,famous
67,3,scene
67,4,from
67,5,The
67,6,Tragical
67,7,History
67,8,of
67,9,Doctor
67,10,Faustus
68,0,What
68,1,is
68,2,the
68,3,main
68,4,theme
68,5,of
68,6,The
68,7,Lion
68,8,in
68,9,Winter
69,0,Which
69,1,religious
69,2,denomination
69,3,is
69,4,Saint
69,5,Catherine
69,6,Monastery
69,7,associated
69,8,with
70,0,Who
70,1,was
70,2,the
70,3,creator
70,4,of
70,5,the
70,6,TV
70,7,series
70,8,Family
70,9,Affair
71,0,Can
71,1,baker's
71,2,yeast
71,3,be
71,4,used
71,5,in
71,6,gluten-free
71,7,baking
72,0,What
72,1,are
72,2,the
72,3,prefixes
72,4,in
72,5,the
72,6,International
72,7,System
72,8,of
72,9,Units
72,10,and
72,11,their
72,12,symbols
73,0,Who
73,1,built
73,2,Hassan
73,3,Tower
74,0,Which
74,1,famous
74,2,catchphrase
74,3,is
74,4,associated
74,5,with
74,6,the
74,7,Simpson
74,8,family
75,0,What
75,1,was
75,2,the
75,3,premise
75,4,of
75,5,the
75,6,TV
75,7,series
75,8,Family
75,9,Matters
76,0,Can
76,1,you
76,2,provide
76,3,a
76,4,brief
76,5,description
76,6,of
76,7,The
76,8,Neverending
76,9,Story
77,0,How
77,1,do
77,2,you
77,3,eat
77,4,a
77,5,flat
77,6,peach
78,0,Can
78,1,you
78,2,sing
78,3,the
78,4,chorus
78,5,of
78,6,the
78,7,folk
78,8,song
78,9,Ring
78,10,a
78,11,Ring
78,12,o'
78,13,Roses
79,0,How
79,1,would
79,2,you
79,3,describe
79,4,The
79,5,Princess
79,6,and
79,7,the
79,8,Pea
79,9,in
79,10,one
79,11,word
80,0,How
80,1,long
80,2,does
80,3,it
80,4,take
80,5,for
80,6,a
80,7,sunflower
80,8,seed
80,9,to
80,10,grow
80,11,into
80,12,a
80,13,mature
80,14,sunflower
81,0,What
81,1,type
81,2,of
81,3,artwork
81,4,is
81,5,Far
81,6,from
81,7,the
81,8,Madding
81,9,Crowd
82,0,How
82,1,many
82,2,seasons
82,3,of
82,4,Hogan's
82,5,Heroes
82,6,were
82,7,produced
83,0,What
83,1,is
83,2,the
83,3,genre
83,4,of
83,5,The
83,6,War
83,7,of
83,8,the
83,9,Worlds
84,0,What
84,1,is
84,2,the
84,3,nickname
84,4,commonly
84,5,used
84,6,for
84,7,Harmandir
84,8,Sahib
85,0,Who
85,1,plays
85,2,the
85,3,lead
85,4,role
85,5,in
85,6,Queen
85,7,of
85,8,the
85,9,Damned
86,0,Who
86,1,are
86,2,some
86,3,prominent
86,4,artists
86,5,or
86,6,photographers
86,7,associated
86,8,with
86,9,the
86,10,attribution-debated
86,11,macaque
86,12,photos
87,0,Who
87,1,played
87,2,the
87,3,titular
87,4,character
87,5,in
87,6,the
87,7,film
87,8,The
87,9,Man
87,10,in
87,11,the
87,12,Iron
87,13,Mask
88,0,What
88,1,type
88,2,of
88,3,space
88,4,station
88,5,is
88,6,the
88,7,Death
88,8,Star
88,9,in
88,10,Star
88,11,Wars
89,0,What
89,1,type
89,2,of
89,3,artwork
89,4,is
89,5,Do
89,6,Androids
89,7,Dream
89,8,of
89,9,Electric
89,10,Sheep?
90,0,What
90,1,temperature
90,2,is
90,3,best
90,4,for
90,5,serving
90,6,white
90,7,wine
91,0,Who
91,1,eventually
91,2,ended
91,3,up
91,4,with
91,5,the
91,6,Apple
91,7,of
91,8,Discord
91,9,and
91,10,why
92,0,Where
92,1,is
92,2,Viktor
92,3,Yushchenko
92,4,from
93,0,Can
93,1,you
93,2,explain
93,3,the
93,4,historical
93,5,origins
93,6,of
93,7,the
93,8,coat
93,9,of
93,10,arms
93,11,of
93,12,Spain
94,0,What
94,1,were
94,2,the
94,3,responsibilities
94,4,of
94,5,Anatoly
94,6,Dyatlov
94,7,as
94,8,the
94,9,deputy
94,10,chief-engineer
94,11,at
94,12,the
94,13,Chernobyl
94,14,Nuclear
94,15,Power
94,16,Plant
95,0,Who
95,1,was
95,2,the
95,3,creator
95,4,of
95,5,the
95,6,TV
95,7,series
95,8,Family
95,9,Affair
96,0,How
96,1,would
96,2,you
96,3,describe
96,4,the
96,5,genre
96,6,of
96,7,the
96,8,book
96,9,A
96,10,Room
96,11,of
96,12,One's
96,13,Own
97,0,What
97,1,was
97,2,the
97,3,premise
97,4,of
97,5,the
97,6,TV
97,7,series
97,8,Family
97,9,Matters
98,0,What
98,1,major
98,2,historical
98,3,events
98,4,have
98,5,taken
98,6,place
98,7,at
98,8,Temple
98,9,Mount
99,0,How
99,1,does
99,2,neem
99,3,oil
99,4,benefit
99,5,the
99,6,body
99,7,when
99,8,consumed
100,0,What
100,1,was
100,2,Varnhem
100,3,Abbey
100,4,originally
100,5,used
100,6,for
101,0,Who
101,1,played
101,2,the
101,3,lead
101,4,role
101,5,in
101,6,The
101,7,Counterfeit
101,8,Killer
102,0,What
102,1,are
102,2,the
102,3,consequences
102,4,of
102,5,the
102,6,executive
102,7,orders
102,8,issued
102,9,in
102,10,Executive
102,11,Orders
103,0,Who
103,1,were
103,2,the
103,3,main
103,4,actors
103,5,in
103,6,the
103,7,film
103,8,Water
103,9,Birds
104,0,What
104,1,is
104,2,the
104,3,length
104,4,of
104,5,Gabriel
104,6,García
104,7,Márquez's
104,8,novella
104,9,No
104,10,One
104,11,Writes
104,12,to
104,13,the
104,14,Colonel
105,0,Can
105,1,visitors
105,2,enter
105,3,the
105,4,Bachelors'
105,5,Mosque
106,0,What
106,1,nationality
106,2,was
106,3,Karl
106,4,George
106,5,Lebrecht
106,6,Prince
106,7,of
106,8,Anhalt-Köthen
107,0,Can
107,1,visitors
107,2,of
107,3,all
107,4,religions
107,5,enter
107,6,the
107,7,Ketchaoua
107,8,Mosque
107,9,in
107,10,Algeria
108,0,What
108,1,is
108,2,the
108,3,subject
108,4,matter
108,5,of
108,6,A
108,7,Flea
108,8,in
108,9,Her
108,10,Ear
109,0,When
109,1,was
109,2,the
109,3,first
109,4,episode
109,5,of
109,6,L/R:
109,7,Licensed
109,8,by
109,9,Royalty
109,10,aired
110,0,Who
110,1,wrote
110,2,the
110,3,screenplay
110,4,for
110,5,the
110,6,movie
110,7,And
110,8,the
110,9,Violins
110,10,Stopped
110,11,Playing
111,0,Who
111,1,is
111,2,the
111,3,artist
111,4,behind
111,5,the
111,6,painting
111,7,named
111,8,Exorcism
111,9,of
111,10,the
111,11,Demons
111,12,at
111,13,Arezzo
112,0,Where
112,1,can
112,2,I
112,3,watch
112,4,episodes
112,5,of
112,6,the
112,7,Baby
112,8,Sitter
112,9,TV
112,10,series
113,0,What
113,1,are
113,2,some
113,3,key
113,4,characteristics
113,5,or
113,6,traits
113,7,of
113,8,Jia
113,9,Jing's
113,10,personality
114,0,When
114,1,was
114,2,The
114,3,Twin
114,4,released
115,0,Can
115,1,you
115,2,provide
115,3,a
115,4,brief
115,5,description
115,6,of
115,7,the
115,8,film
115,9,Lights
115,10,and
115,11,Shadows
116,0,Who
116,1,created
116,2,the
116,3,TV
116,4,series
116,5,Percy
116,6,the
116,7,Park
116,8,Keeper
117,0,Where
117,1,can
117,2,you
117,3,typically
117,4,find
117,5,productions
117,6,of
117,7,The
117,8,Homecoming
117,9,theater
117,10,play
118,0,What
118,1,religious
118,2,denomination
118,3,is
118,4,associated
118,5,with
118,6,the
118,7,Monastery
118,8,of
118,9,Saint
118,10,Euthymius
119,0,When
119,1,was
119,2,the
119,3,TV
119,4,series
119,5,Pat
119,6,the
119,7,Dog
119,8,first
119,9,aired
120,0,How
120,1,is
120,2,Yu
120,3,the
120,4,Great
120,5,remembered
120,6,and
120,7,honored
120,8,in
120,9,Chinese
120,10,history
120,11,and
120,12,culture
120,13,today
121,0,What
121,1,type
121,2,of
121,3,hill
121,4,is
121,5,Batu
121,6,Caves
121,7,made
121,8,of
122,0,Who
122,1,are
122,2,the
122,3,main
122,4,antagonistic
122,5,forces
122,6,in
122,7,the
122,8,World
122,9,of
122,10,Ice
122,11,and
122,12,Fire
123,0,What
123,1,is
123,2,the
123,3,main
123,4,theme
123,5,of
123,6,The
123,7,Lion
123,8,in
123,9,Winter
124,0,Who
124,1,is
124,2,the
124,3,author
124,4,of
124,5,the
124,6,science
124,7,fiction
124,8,mystery-thriller
124,9,novel
124,10,called
124,11,The
124,12,Peripheral
125,0,How
125,1,tall
125,2,is
125,3,Saint
125,4,Sophia
125,5,Cathedral
125,6,in
125,7,Kyiv
126,0,What
126,1,is
126,2,the
126,3,setting
126,4,of
126,5,the
126,6,Sweet
126,7,Magnolias
126,8,TV
126,9,series
127,0,Are
127,1,there
127,2,any
127,3,potential
127,4,allergy
127,5,risks
127,6,associated
127,7,with
127,8,consuming
127,9,egg
127,10,whites
128,0,Who
128,1,plays
128,2,the
128,3,lead
128,4,role
128,5,in
128,6,Queen
128,7,of
128,8,the
128,9,Damned
129,0,Which
129,1,composer
129,2,composed
129,3,Symphony
129,4,No
129,5,9
130,0,Who
130,1,designed
130,2,Tokyo
130,3,Tower
131,0,How
131,1,tall
131,2,is
131,3,the
131,4,Ostankino
131,5,Tower
131,6,in
131,7,Moscow
132,0,Can
132,1,you
132,2,sing
132,3,the
132,4,chorus
132,5,of
132,6,the
132,7,folk
132,8,song
132,9,Ring
132,10,a
132,11,Ring
132,12,o'
132,13,Roses
133,0,Who
133,1,choreographed
133,2,the
133,3,original
133,4,1910
133,5,ballet
133,6,of
133,7,The
133,8,Firebird
134,0,Name
134,1,one
134,2,famous
134,3,scene
134,4,from
134,5,The
134,6,Tragical
134,7,History
134,8,of
134,9,Doctor
134,10,Faustus
135,0,How
135,1,long
135,2,was
135,3,Mary
135,4,of
135,5,Burgundy
135,6,married
135,7,to
135,8,Emperor
135,9,Maximilian
135,10,I
136,0,In
136,1,which
136,2,industry
136,3,does
136,4,Seishiro
136,5,Kato
136,6,work
137,0,How
137,1,does
137,2,neem
137,3,oil
137,4,benefit
137,5,the
137,6,body
137,7,when
137,8,consumed
138,0,When
138,1,was
138,2,the
138,3,first
138,4,episode
138,5,of
138,6,Stuck
138,7,in
138,8,the
138,9,Middle
138,10,aired
139,0,What
139,1,is
139,2,the
139,3,symbol
139,4,of
139,5,the
139,6,Galactic
139,7,Empire
139,8,in
139,9,the
139,10,Star
139,11,Wars
139,12,universe
140,0,Can
140,1,rolled
140,2,oats
140,3,be
140,4,used
140,5,in
140,6,baking
141,0,Who
141,1,is
141,2,directing
141,3,the
141,4,upcoming
141,5,film
141,6,The
141,7,Hunger
141,8,Games:
141,9,The
141,10,Ballad
141,11,of
141,12,Songbirds
141,13,and
141,14,Snakes
142,0,What
142,1,religious
142,2,texts
142,3,mention
142,4,the
142,5,Cavern
142,6,of
142,7,the
142,8,Patriarchs
143,0,How
143,1,many
143,2,seasons
143,3,of
143,4,Hogan's
143,5,Heroes
143,6,were
143,7,produced
144,0,When
144,1,was
144,2,Stairway
144,3,to
144,4,Heaven
144,5,first
144,6,aired
144,7,on
144,8,television
145,0,How
145,1,many
145,2,chapters
145,3,are
145,4,in
145,5,the
145,6,Book
145,7,of
145,8,the
145,9,Dead
146,0,What
146,1,is
146,2,the
146,3,genre
146,4,of
146,5,The
146,6,War
146,7,of
146,8,the
146,9,Worlds
147,0,What
147,1,was
147,2,the
147,3,premise
147,4,of
147,5,the
147,6,TV
147,7,series
147,8,Family
147,9,Matters
148,0,Who
148,1,composed
148,2,March
148,3,of
148,4,the
148,5,Volunteers
149,0,How
149,1,many
149,2,people
149,3,can
149,4,the
149,5,Prophet's
149,6,Mosque
149,7,accommodate
150,0,Who
150,1,are
150,2,the
150,3,main
150,4,actors
150,5,in
150,6,the
150,7,movie
150,8,Miracle
150,9,in
150,10,Cell
150,11,No
150,12,7
151,0,Who
151,1,were
151,2,the
151,3,main
151,4,actors
151,5,in
151,6,As
151,7,Good
151,8,as
151,9,It
151,10,Gets
152,0,Were
152,1,there
152,2,any
152,3,rumors
152,4,or
152,5,controversies
152,6,surrounding
152,7,The
152,8,Turk's
152,9,ability
152,10,to
152,11,play
152,12,chess
153,0,What
153,1,is
153,2,the
153,3,setting
153,4,of
153,5,the
153,6,Pride
153,7,and
153,8,Prejudice
153,9,TV
153,10,series
154,0,Can
154,1,baker's
154,2,yeast
154,3,be
154,4,used
154,5,in
154,6,gluten-free
154,7,baking
155,0,When
155,1,was
155,2,Symphony
155,3,No
155,4,5
155,5,first
155,6,performed
156,0,Can
156,1,you
156,2,provide
156,3,a
156,4,brief
156,5,summary
156,6,of
156,7,the
156,8,movie
156,9,The
156,10,Mask
156,11,of
156,12,Zorro
157,0,What
157,1,type
157,2,of
157,3,space
157,4,station
157,5,is
157,6,the
157,7,Death
157,8,Star
157,9,in
157,10,Star
157,11,Wars
158,0,Can
158,1,you
158,2,provide
158,3,a
158,4,brief
158,5,description
158,6,of
158,7,Fawzia
158,8,Fuad's
158,9,royal
158,10,lineage
159,0,What
159,1,were
159,2,the
159,3,responsibilities
159,4,of
159,5,Anatoly
159,6,Dyatlov
159,7,as
159,8,the
159,9,deputy
159,10,chief-engineer
159,11,at
159,12,the
159,13,Chernobyl
159,14,Nuclear
159,15,Power
159,16,Plant
160,0,Who
160,1,was
160,2,Princess
160,3,Cecilie
160,4,of
160,5,Greece
160,6,and
160,7,Denmark
161,0,What
161,1,is
161,2,the
161,3,symbol
161,4,of
161,5,human
161,6,freedom
161,7,in
161,8,the
161,9,fictional
161,10,religion
161,11,of
161,12,LaVeyan
161,13,Satanism
162,0,Who
162,1,are
162,2,some
162,3,of
162,4,the
162,5,main
162,6,characters
162,7,in
162,8,Never
162,9,Say
162,10,Never
162,11,Again
163,0,What
163,1,major
163,2,historical
163,3,events
163,4,have
163,5,taken
163,6,place
163,7,at
163,8,Temple
163,9,Mount
164,0,How
164,1,can
164,2,you
164,3,tell
164,4,if
164,5,an
164,6,egg
164,7,yolk
164,8,is
164,9,fresh
165,0,What
165,1,is
165,2,Vasily
165,3,Blyukher
165,4,most
165,5,known
165,6,for
165,7,in
165,8,his
165,9,military
165,10,service
166,0,What
166,1,is
166,2,the
166,3,genre
166,4,of
166,5,The
166,6,Call
166,7,of
166,8,Cthulhu
167,0,How
167,1,long
167,2,does
167,3,it
167,4,take
167,5,for
167,6,a
167,7,sunflower
167,8,seed
167,9,to
167,10,grow
167,11,into
167,12,a
167,13,mature
167,14,sunflower
168,0,Can
168,1,you
168,2,name
168,3,any
168,4,of
168,5,the
168,6,memorable
168,7,destinations
168,8,visited
168,9,in
168,10,the
168,11,novel
168,12,Around
168,13,the
168,14,World
168,15,in
168,16,Eighty
168,17,Days
169,0,How
169,1,tall
169,2,is
169,3,Saint
169,4,Sophia
169,5,Cathedral
169,6,in
169,7,Kyiv
170,0,Who
170,1,are
170,2,the
170,3,main
170,4,characters
170,5,in
170,6,Pokémon
170,7,Horizons:
170,8,The
170,9,Series
171,0,Who
171,1,is
171,2,directing
171,3,the
171,4,upcoming
171,5,film
171,6,The
171,7,Hunger
171,8,Games:
171,9,The
171,10,Ballad
171,11,of
171,12,Songbirds
171,13,and
171,14,Snakes
172,0,Can
172,1,white
172,2,chocolate
172,3,be
172,4,used
172,5,in
172,6,baking
172,7,and
172,8,desserts
173,0,What
173,1,type
173,2,of
173,3,hill
173,4,is
173,5,Batu
173,6,Caves
173,7,made
173,8,of
174,0,What
174,1,is
174,2,the
174,3,significance
174,4,of
174,5,the
174,6,Mausoleum
174,7,of
174,8,the
174,9,First
174,10,Qin
174,11,Emperor
175,0,What
175,1,instrument
175,2,is
175,3,the
175,4,suite
175,5,Pictures
175,6,at
175,7,an
175,8,Exhibition
175,9,written
175,10,for
176,0,Under
176,1,whose
176,2,rule
176,3,was
176,4,the
176,5,Salic
176,6,law
176,7,enforced
177,0,What
177,1,genre
177,2,does
177,3,The
177,4,Invisible
177,5,Man
177,6,belong
177,7,to
178,0,When
178,1,was
178,2,Symphony
178,3,No
178,4,5
178,5,first
178,6,performed
179,0,Who
179,1,were
179,2,the
179,3,main
179,4,actors
179,5,in
179,6,As
179,7,Good
179,8,as
179,9,It
179,10,Gets
180,0,How
180,1,tall
180,2,is
180,3,Saint
180,4,Sophia
180,5,Cathedral
180,6,in
180,7,Kyiv
181,0,How
181,1,long
181,2,was
181,3,Mary
181,4,of
181,5,Burgundy
181,6,married
181,7,to
181,8,Emperor
181,9,Maximilian
181,10,I
182,0,What
182,1,is
182,2,the
182,3,genre
182,4,of
182,5,The
182,6,War
182,7,of
182,8,the
182,9,Worlds
183,0,Where
183,1,is
183,2,Viktor
183,3,Yushchenko
183,4,from
184,0,What
184,1,was
184,2,the
184,3,original
184,4,purpose
184,5,of
184,6,the
184,7,Cathedral
184,8,of
184,9,Christ
184,10,the
184,11,Saviour
185,0,What
185,1,is
185,2,the
185,3,genre
185,4,of
185,5,A
185,6,City
185,7,of
185,8,Sadness
186,0,How
186,1,can
186,2,Welsh
186,3,onions
186,4,be
186,5,grown
186,6,and
186,7,harvested
186,8,in
186,9,home
186,10,gardens
187,0,What
187,1,type
187,2,of
187,3,entity
187,4,is
187,5,the
187,6,Galactic
187,7,Republic
188,0,Can
188,1,baker's
188,2,yeast
188,3,be
188,4,used
188,5,in
188,6,gluten-free
188,7,baking
189,0,How
189,1,does
189,2,neem
189,3,oil
189,4,benefit
189,5,the
189,6,body
189,7,when
189,8,consumed
190,0,What
190,1,type
190,2,of
190,3,artwork
190,4,is
190,5,Do
190,6,Androids
190,7,Dream
190,8,of
190,9,Electric
190,10,Sheep?
191,0,Who
191,1,are
191,2,the
191,3,main
191,4,antagonistic
191,5,forces
191,6,in
191,7,the
191,8,World
191,9,of
191,10,Ice
191,11,and
191,12,Fire
192,0,What
192,1,is
192,2,the
192,3,significance
192,4,of
192,5,the
192,6,Basilica
192,7,of
192,8,Our
192,9,Lady
192,10,of
192,11,Guadalupe
192,12,in
192,13,Mexican
192,14,culture
193,0,Can
193,1,Schrödinger's
193,2,cat
193,3,exist
193,4,in
193,5,both
193,6,live
193,7,and
193,8,dead
193,9,states
193,10,simultaneously
194,0,What
194,1,is
194,2,the
194,3,symbol
194,4,of
194,5,the
194,6,Galactic
194,7,Empire
194,8,in
194,9,the
194,10,Star
194,11,Wars
194,12,universe
195,0,Who
195,1,were
195,2,the
195,3,main
195,4,composers
195,5,of
195,6,medieval
195,7,music
196,0,Who
196,1,was
196,2,Grand
196,3,Duke
196,4,Sergei
196,5,Alexandrovich
196,6,of
196,7,Russia
197,0,Who
197,1,played
197,2,the
197,3,titular
197,4,character
197,5,in
197,6,the
197,7,film
197,8,The
197,9,Man
197,10,in
197,11,the
197,12,Iron
197,13,Mask
198,0,In
198,1,which
