id	wikidata_id	entity_types	source	targets	source_locale	target_locale
Q109658712_0	Q109658712	['TV series']	What genre does Anxious People belong to?	[{'translation': 'Zu welchem Genre gehört Menschen in Angst?', 'mention': 'Menschen in Angst'}]	en	de
Q109658712_1	Q109658712	['TV series']	When was Anxious People released?	[{'translation': 'Wann wurde Menschen in Angst veröffentlicht?', 'mention': 'Menschen in Angst'}]	en	de
Q109658712_2	Q109658712	['TV series']	Which country is Anxious People from?	[{'translation': 'Aus welchem Land kommt Menschen in Angst?', 'mention': 'Menschen in Angst'}]	en	de
Q1110797_0	Q1110797	['Movie']	Who played the main character in the movie Good Morning, Miss Dove?	[{'translation': 'Wer spielte die Hauptfigur im Film Guten Morgen, Miss Fink?', 'mention': 'Guten Morgen, Miss Fink'}, {'translation': 'Wer spielte die Hauptfigur in dem Film Guten Morgen, Miss Fink?', 'mention': 'Guten Morgen, Miss Fink'}]	en	de
Q1110797_1	Q1110797	['Movie']	What is the genre of the movie Good Morning, Miss Dove?	[{'translation': 'Was ist das Genre des Films Guten Morgen, Miss Fink?', 'mention': 'Guten Morgen, Miss Fink'}, {'translation': 'Welches Genre hat der Film Guten Morgen, Miss Fink?', 'mention': 'Guten Morgen, Miss Fink'}]	en	de
Q1110797_2	Q1110797	['Movie']	When was the movie Good Morning, Miss Dove released?	[{'translation': 'Wann wurde der Film Guten Morgen, Miss Fink veröffentlicht?', 'mention': 'Guten Morgen, Miss Fink'}]	en	de
Q111474934_0	Q111474934	['TV series']	How many seasons does The Lesson TV series have?	[{'translation': 'Wie viele Staffeln hat die TV-Serie Zero Hour?', 'mention': 'Zero Hour'}]	en	de
Q111474934_1	Q111474934	['TV series']	Who are the main characters in The Lesson TV series?	[{'translation': 'Wer sind die Hauptfiguren in der TV-Serie Zero Hour?', 'mention': 'Zero Hour'}]	en	de
Q111474934_2	Q111474934	['TV series']	When was The Lesson TV series first aired?	[{'translation': 'Wann wurde die TV-Serie Zero Hour zum ersten Mal ausgestrahlt?', 'mention': 'Zero Hour'}]	en	de
Q11173928_0	Q11173928	['Food']	How does the taste of a duck egg compare to a chicken egg?	[{'translation': 'Wie ist der Geschmack eines Enteneis im Vergleich zu einem Hühnerei?', 'mention': 'Entenei'}, {'translation': 'Wie schmeckt ein Entenei im Vergleich zu einem Hühnerei?', 'mention': 'Entenei'}]	en	de
Q11173928_1	Q11173928	['Food']	Can you eat duck eggs and how are they typically used in cooking?	[{'translation': 'Können Sie Entenei essen und wie werden sie normalerweise beim Kochen verwendet?', 'mention': 'Entenei'}]	en	de
Q11173928_2	Q11173928	['Food']	Are duck eggs nutritionally different from chicken eggs?	[{'translation': 'Unterscheiden sich Enteneier ernährungsphysiologisch von Hühnereiern?', 'mention': 'Enteneier'}]	en	de
Q111961959_0	Q111961959	['TV series']	Where can I watch episodes of Love Like The Galaxy?	[{'translation': 'Wo kann ich Episoden von Love Like The Galaxy sehen?', 'mention': 'Love Like The Galaxy'}, {'translation': 'Wo kann ich mir Episoden von Love Like the Galaxy anschauen?', 'mention': 'Love Like the Galaxy'}]	en	de
Q111961959_1	Q111961959	['TV series']	Who are the main characters in the TV series Love Like The Galaxy?	[{'translation': 'Wer sind die Hauptfiguren der TV-Serie Love Like The Galaxy?', 'mention': 'Love Like The Galaxy'}, {'translation': 'Wer sind die Hauptfiguren in der TV-Serie Love Like the Galaxy?', 'mention': 'Love Like the Galaxy'}]	en	de
Q111961959_2	Q111961959	['TV series']	When did the TV series Love Like The Galaxy premiere?	[{'translation': 'Wann war die Erstausstrahlung der TV-Serie Love Like the Galaxy?', 'mention': 'Love Like the Galaxy'}]	en	de
Q1144080_0	Q1144080	['Movie']	Which filmmaker is known for directing Till Marriage Do Us Part?	[{'translation': 'Welcher Filmemacher ist bekannt für die Regie von Wie tief bin ich gesunken?', 'mention': 'Wie tief bin ich gesunken'}]	en	de
Q1144080_1	Q1144080	['Movie']	Who directed the 1974 film Till Marriage Do Us Part?	[{'translation': 'Wer hat 1974 den Film Wie tief bin ich gesunken inszeniert?', 'mention': 'Wie tief bin ich gesunken'}]	en	de
Q1144080_2	Q1144080	['Movie']	What is the subject of the movie Till Marriage Do Us Part?	[{'translation': 'Was ist das Thema des Films Wie tief bin ich gesunken?', 'mention': 'Wie tief bin ich gesunken'}]	en	de
Q1152142_0	Q1152142	['Fictional entity']	Is the DC Multiverse a concept used only in the comics or is it also explored in other media?	[{'translation': 'Ist das DC-Multiversum ein Konzept, das nur in den Comics verwendet wird, oder wird es auch in anderen Medien erforscht?', 'mention': 'DC-Multiversum'}, {'translation': 'Ist das DC-Multiversum ein Konzept, das nur in den Comics verwendet wird, oder wird es auch in anderen Medien untersucht?', 'mention': 'DC-Multiversum'}, {'translation': 'Ist das DC-Multiversum ein Konzept, das nur in den Comics verwendet wird, oder wird es auch in anderen Medien benutzt?', 'mention': 'DC-Multiversum'}]	en	de
Q1152142_1	Q1152142	['Fictional entity']	Which DC Multiverse Earth is home to the Justice League?	[{'translation': 'Welche DC-Multiversum Erde ist die Heimat der Justice League?', 'mention': 'DC-Multiversum'}, {'translation': 'Welche DC-Multiversum-Erde ist die Heimat der Justice League?', 'mention': 'DC-Multiversum'}, {'translation': 'Welches Paralleluniversum im Konzept DC-Multiversum ist die Heimat der Justice League?', 'mention': 'DC-Multiversum'}]	en	de
Q1152142_2	Q1152142	['Fictional entity']	Can characters from different Earths in the DC Multiverse interact with each other?	[{'translation': 'Können Charaktere aus verschiedenen Erden im DC-Multiversum miteinander interagieren?', 'mention': 'DC-Multiversum'}, {'translation': 'Können Charaktere von verschiedenen Erden im DC-Multiversum miteinander interagieren?', 'mention': 'DC-Multiversum'}, {'translation': 'Können Charaktere aus verschiedenen Universen im DC Multiversum miteinander interagieren?', 'mention': 'DC-Multiversum'}]	en	de
Q1156634_0	Q1156634	['Food']	What is the purpose of the cone in an ice cream cone?	[{'translation': 'Welchen Zweck hat die Waffel in einer Eistüte?', 'mention': 'Eistüte'}, {'translation': 'Was ist der Zweck des Kegels in einem Eistüte?', 'mention': 'Eistüte'}, {'translation': 'Was ist der Zweck des Kegels in einer Eistüte?', 'mention': 'Eistüte'}]	en	de
Q1156634_1	Q1156634	['Food']	How is an ice cream cone made?	[{'translation': 'Wie wird eine Eistüte hergestellt?', 'mention': 'Eistüte'}]	en	de
Q1156634_2	Q1156634	['Food']	Where can you find ice cream cones for sale?	[{'translation': 'Wo finden Sie Eistüte zum Verkauf?', 'mention': 'Eistüte'}]	en	de
Q116945637_0	Q116945637	['Movie']	When was the movie All Your Faces released?	[{'translation': 'Wann wurde der Film All Your Faces veröffentlicht?', 'mention': 'All Your Faces'}]	en	de
Q116945637_1	Q116945637	['Movie']	What is the genre of the film All Your Faces?	[{'translation': 'Was ist das Genre des Films All Your Faces?', 'mention': 'All Your Faces'}]	en	de
Q116945637_2	Q116945637	['Movie']	How long is the movie All Your Faces?	[{'translation': 'Wie lang ist der Film All Your Faces?', 'mention': 'All Your Faces'}]	en	de
Q1190888_0	Q1190888	['Artwork', 'Book']	Is The Mote in God's Eye a science fiction novel?	[{'translation': 'Ist Der Splitter im Auge Gottes ein Science-Fiction-Roman?', 'mention': 'Der Splitter im Auge Gottes'}, {'translation': 'Ist der Splitter im Auge Gottes ein Science-Fiction-Roman?', 'mention': 'Der Splitter im Auge Gottes'}]	en	de
Q1190888_1	Q1190888	['Artwork', 'Book']	When was The Mote in God's Eye published?	[{'translation': 'Wann wurde Der Splitter im Auge Gottes veröffentlicht?', 'mention': 'Der Splitter im Auge Gottes'}, {'translation': 'Wann wurde der Splitter im Auge Gottes veröffentlicht?', 'mention': 'Der Splitter im Auge Gottes'}]	en	de
Q1190888_2	Q1190888	['Artwork', 'Book']	What type of artwork is The Mote in God's Eye?	[{'translation': 'Welche Art von Kunstwerk ist Der Splitter im Auge Gottes?', 'mention': 'Der Splitter im Auge Gottes'}, {'translation': 'Welche Art von Kunstwerk ist der Splitter im Auge Gottes?', 'mention': 'Der Splitter im Auge Gottes'}, {'translation': 'Welche Art von Kunstwerk ist _Der Splitter im Auge Gottes _?', 'mention': 'Der Splitter im Auge Gottes'}]	en	de
Q1195553_0	Q1195553	['Movie']	When was the animated film, The Wonderful World of Puss 'n Boots, released?	[{'translation': 'Wann wurde der Animationsfilm Der gestiefelte Kater veröffentlicht?', 'mention': 'Der gestiefelte Kater'}]	en	de
Q1195553_1	Q1195553	['Movie']	Who directed the 1969 animated film, The Wonderful World of Puss 'n Boots?	[{'translation': 'Wer hat den Animationsfilm Der gestiefelte Kater aus dem Jahr 1969 inszeniert?', 'mention': 'Der gestiefelte Kater'}, {'translation': 'Wer führte Regie beim Animationsfilm Der gestiefelte Kater aus dem Jahr 1969?', 'mention': 'Der gestiefelte Kater'}]	en	de
Q1195553_2	Q1195553	['Movie']	Can you provide a brief description of the 1969 film, The Wonderful World of Puss 'n Boots?	[{'translation': 'Können Sie eine kurze Beschreibung des Films Der gestiefelte Kater aus dem Jahr 1969 geben?', 'mention': 'Der gestiefelte Kater'}]	en	de
Q1203306_0	Q1203306	['Book series', 'TV series']	When was the first volume of Embracing Love manga released?	[{'translation': 'Wann wurde der erste Band des Mangas Haru o daiteita veröffentlicht?', 'mention': 'Haru o daiteita'}]	en	de
Q1203306_1	Q1203306	['Book series', 'TV series']	Who is the author of the Embracing Love book series?	[{'translation': 'Wer ist der Autor der Buchreihe Haru o daiteita?', 'mention': 'Haru o daiteita'}]	en	de
Q1203306_2	Q1203306	['Book series', 'TV series']	What is the main storyline of the Embracing Love TV series?	[{'translation': 'Was ist die Hauptgeschichte der TV-Serie Haru o daiteita?', 'mention': 'Haru o daiteita'}]	en	de
Q1204959_0	Q1204959	['Fictional entity']	How does the Ministry of Truth control the dissemination of information in Oceania?	[{'translation': 'Wie kontrolliert das Ministerium für Wahrheit die Verbreitung von Informationen in Ozeanien?', 'mention': 'Ministerium für Wahrheit'}]	en	de
Q1204959_2	Q1204959	['Fictional entity']	In what ways does the Ministry of Truth manipulate historical records in the novel?	[{'translation': 'Auf welche Weise manipuliert das Ministerium für Wahrheit historische Aufzeichnungen im Roman?', 'mention': 'Ministerium für Wahrheit'}]	en	de
Q1216303_0	Q1216303	['Artwork', 'Book']	How is Orpheus depicted in the literary work Sonnets to Orpheus?	[{'translation': 'Wie wird Orpheus in dem literarischen Werk die Sonette an Orpheus dargestellt?', 'mention': 'Die Sonette an Orpheus'}, {'translation': 'Wie wird Orpheus in dem literarischen Werk Die Sonette an Orpheus dargestellt?', 'mention': 'Die Sonette an Orpheus'}]	en	de
Q1216303_1	Q1216303	['Artwork', 'Book']	What is the main theme explored in the book Sonnets to Orpheus?	[{'translation': 'Was ist das Hauptthema, das im Buch die Sonette an Orpheus untersucht wird?', 'mention': 'Die Sonette an Orpheus'}, {'translation': 'Was ist das Hauptthema, das im Buch Die Sonette an Orpheus untersucht wird?', 'mention': 'Die Sonette an Orpheus'}]	en	de
Q1216303_2	Q1216303	['Artwork', 'Book']	Who is the author of the collection of sonnets titled Sonnets to Orpheus?	[{'translation': 'Wer ist der Autor der Sonettsammlung mit dem Titel die Sonette an Orpheus?', 'mention': 'Die Sonette an Orpheus'}, {'translation': 'Wer ist der Autor der Sonettsammlung mit dem Titel Die Sonette an Orpheus?', 'mention': 'Die Sonette an Orpheus'}]	en	de
Q1230632_0	Q1230632	['TV series']	Who are the main characters in the TV series Tinker Tailor Soldier Spy?	[{'translation': 'Wer sind die Hauptfiguren in der TV-Serie Dame, König, As, Spion?', 'mention': 'Dame, König, As, Spion'}]	en	de
Q1230632_1	Q1230632	['TV series']	How many episodes does the TV series Tinker Tailor Soldier Spy have?	[{'translation': 'Wie viele Episoden hat die TV-Serie Dame, König, As, Spion?', 'mention': 'Dame, König, As, Spion'}]	en	de
Q1230632_2	Q1230632	['TV series']	In which time period does the TV series Tinker Tailor Soldier Spy take place?	[{'translation': 'In welchem Zeitraum spielt die TV-Serie Dame, König, As, Spion?', 'mention': 'Dame, König, As, Spion'}]	en	de
Q1235125_0	Q1235125	['Book']	Is Into the Wild a work of fiction or non-fiction?	[{'translation': 'Ist In die Wildnis ein Werk der Belletristik oder Sachbücher?', 'mention': 'Ist In die Wildnis ein Werk der Belletristik oder Sachbücher?'}]	en	de
Q1235125_1	Q1235125	['Book']	Who wrote the book Into the Wild?	[{'translation': 'Wer hat das Buch In die Wildnis geschrieben?', 'mention': 'Wer hat das Buch In die Wildnis geschrieben?'}]	en	de
Q1235125_2	Q1235125	['Book']	When was Into the Wild published?	[{'translation': 'Wann wurde In die Wildnis veröffentlicht?', 'mention': 'Wann wurde In die Wildnis veröffentlicht?'}]	en	de
Q1242146_0	Q1242146	['Place of worship', 'Landmark']	Who is the patron saint of the Donskoy Monastery?	[{'translation': 'Wer ist der Schutzpatron des Donskoi-Klosters?', 'mention': 'Donskoi-Klosters'}]	en	de
Q1242146_1	Q1242146	['Place of worship', 'Landmark']	What is the architectural style of the Donskoy Monastery?	[{'translation': 'Was ist der architektonische Stil des Donskoi-Klosters?', 'mention': 'Donskoi-Klosters'}]	en	de
Q1242146_2	Q1242146	['Place of worship', 'Landmark']	When was the Donskoy Monastery founded?	[{'translation': 'Wann wurde das Donskoi-Kloster gegründet?', 'mention': 'Donskoi-Kloster'}]	en	de
Q1257747_0	Q1257747	['Landmark']	Does Trinity Church in Nikitniki have any historical significance?	[{'translation': 'Hat die Dreifaltigkeitskirche in Nikitniki eine historische Bedeutung?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}]	en	de
Q1257747_1	Q1257747	['Landmark']	What is the architectural style of Trinity Church in Nikitniki?	[{'translation': 'Welchen architektonischen Baustil hat die Dreifaltigkeitskirche in Nikitniki?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}, {'translation': 'Welchen Baustil hat die Dreifaltigkeitskirche in Nikitniki?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}, {'translation': 'Was ist der architektonische Stil der Dreifaltigkeitskirche in Nikitniki?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}, {'translation': 'Welchen architektonischen Stil hat die Dreifaltigkeitskirche in Nikitniki?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}]	en	de
Q1257747_2	Q1257747	['Landmark']	How old is Trinity Church in Nikitniki?	[{'translation': 'Wie alt ist die Dreifaltigkeitskirche in Nikitniki?', 'mention': 'Dreifaltigkeitskirche in Nikitniki'}]	en	de
Q1264983_0	Q1264983	['TV series']	Who created The Man from U.N.C.L.E. TV series?	[{'translation': 'Wer hat die TV-Serie Solo für O.N.C.E.L. geschaffen?', 'mention': 'Solo für O.N.C.E.L.'}]	en	de
Q1264983_1	Q1264983	['TV series']	Who were the main characters in The Man from U.N.C.L.E.?	[{'translation': 'Wer waren die Hauptfiguren in Solo für O.N.C.E.L.?', 'mention': 'Solo für O.N.C.E.L.'}]	en	de
Q1264983_2	Q1264983	['TV series']	What was the premise of The Man from U.N.C.L.E. TV series?	[{'translation': 'Was war die Prämisse der TV-Serie Solo für O.N.C.E.L.?', 'mention': 'Solo für O.N.C.E.L.'}]	en	de
Q126877_0	Q126877	['Landmark', 'Natural place']	What is Gorky Park known for?	[{'translation': 'Wofür ist der Gorki-Park bekannt?', 'mention': 'Gorki-Park'}, {'translation': 'Wofür ist Gorki-Park bekannt?', 'mention': 'Gorki-Park'}]	en	de
Q126877_1	Q126877	['Landmark', 'Natural place']	Where is Gorky Park located?	[{'translation': 'o befindet sich Gorki-Park?', 'mention': 'Gorki-Park'}, {'translation': 'Wo befindet sich der Gorki-Park?', 'mention': 'Gorki-Park'}, {'translation': 'Wo befindet sich Gorki-Park?', 'mention': 'Gorki-Park'}]	en	de
Q126877_2	Q126877	['Landmark', 'Natural place']	What type of place is Gorky Park?	[{'translation': 'Was für ein Ort ist der Gorki-Park?', 'mention': 'Gorki-Park'}, {'translation': 'Welche Art von Ort ist der Gorki-Park?', 'mention': 'Gorki-Park'}, {'translation': 'Welche Art von Ort ist Gorki-Park?', 'mention': 'Gorki-Park'}]	en	de
Q1305660_0	Q1305660	['TV series']	In the House: How many seasons of the TV series In the House were produced?	[{'translation': 'Ein schrecklich nettes Haus: Wie viele Staffeln der TV-SerieEin schrecklich nettes Haus wurden produziert?', 'mention': 'Ein schrecklich nettes Haus'}, {'translation': 'Wie viele Staffeln der TV-Serie Ein schrecklich nettes Haus wurden produziert?', 'mention': 'Ein schrecklich nettes Haus'}, {'translation': 'Ein schrecklich nettes Haus: Wie viele Staffeln der TV-Serie Ein schrecklich nettes Haus wurden produziert?', 'mention': 'Ein schrecklich nettes Haus'}]	en	de
Q1305660_1	Q1305660	['TV series']	In the House: Who are the main characters in the television series In the House?	[{'translation': 'Ein schrecklich nettes Haus: Wer sind die Hauptfiguren in der FernsehserieEin schrecklich nettes Haus?', 'mention': 'Ein schrecklich nettes Haus'}, {'translation': 'Wer sind die Hauptfiguren in der Fernsehserie Ein schrecklich nettes Haus?', 'mention': 'Ein schrecklich nettes Haus'}, {'translation': 'Ein schrecklich nettes Haus: Wer sind die Hauptfiguren in der Fernsehserie Ein schrecklich nettes Haus?', 'mention': 'Ein schrecklich nettes Haus'}]	en	de
Q1305660_2	Q1305660	['TV series']	In the House: Which network aired the TV series In the House?	[{'translation': 'Ein schrecklich nettes Haus: Welches Netzwerk hat die TV-Serie Ein schrecklich nettes Haus ausgestrahlt?', 'mention': 'Ein schrecklich nettes Haus'}, {'translation': 'Welches Netzwerk hat die TV-Serie Ein schrecklich nettes Haus ausgestrahlt?', 'mention': 'Ein schrecklich nettes Haus'}]	en	de
Q131119_0	Q131119	['Artwork', 'Book']	What is the significance of the First Epistle of Peter in Christianity?	[{'translation': 'Welche Bedeutung hat der 1. Brief des Petrus im Christentum?', 'mention': '1. Brief des Petrus'}]	en	de
Q131119_1	Q131119	['Artwork', 'Book']	Who wrote the First Epistle of Peter?	[{'translation': 'Wer hat den 1. Brief des Petrus geschrieben?', 'mention': '1. Brief des Petrus'}]	en	de
Q131119_2	Q131119	['Artwork', 'Book']	What is the subject matter of the First Epistle of Peter?	[{'translation': 'Was ist das Thema des Erster Petrusbrief?', 'mention': 'Erster Petrusbrief'}, {'translation': 'Was ist das Thema des 1. Brief des Petrus?', 'mention': '1. Brief des Petrus'}]	en	de
Q13407659_0	Q13407659	['TV series']	Where can I watch Valley of the Wolves online?	[{'translation': 'Wo kann ich Tal der Wölfe online sehen?', 'mention': 'Tal der Wölfe'}, {'translation': 'Wo kann ich Tal der Wölfe online ansehen?', 'mention': 'Tal der Wölfe'}]	en	de
Q13407659_1	Q13407659	['TV series']	Who are the main characters in Valley of the Wolves?	[{'translation': 'Wer sind die Hauptfiguren in Tal der Wölfe?', 'mention': 'Tal der Wölfe'}, {'translation': 'Wer sind die Hauptcharaktere im Tal der Wölfe?', 'mention': 'Tal der Wölfe'}]	en	de
Q13407659_2	Q13407659	['TV series']	How many seasons of Valley of the Wolves are there?	[{'translation': 'Wie viele Staffeln von Tal der Wölfe gibt es?', 'mention': 'Tal der Wölfe'}, {'translation': 'Wie viele Staffeln gibt es im Tal der Wölfe?', 'mention': 'Tal der Wölfe'}]	en	de
Q13501123_0	Q13501123	['TV series']	How many seasons were there in the TV series Worzel Gummidge?	[{'translation': 'Wie viele Staffeln gab es in der TV-Serie Die Vogelscheuche?', 'mention': 'Die Vogelscheuche'}]	en	de
Q13501123_1	Q13501123	['TV series']	When was the TV series Worzel Gummidge first aired?	[{'translation': 'Wann wurde die TV-Serie Die Vogelscheuche zum ersten Mal ausgestrahlt?', 'mention': 'Die Vogelscheuche'}]	en	de
Q13501123_2	Q13501123	['TV series']	What was the genre of the TV series Worzel Gummidge?	[{'translation': 'Was war das Genre der TV-Serie Die Vogelscheuche?', 'mention': 'Die Vogelscheuche'}]	en	de
Q1367269_0	Q1367269	['Landmark']	What notable features does the Moscow Belorussky railway station have?	[{'translation': 'Welche bemerkenswerten Merkmale hat der Belarussischer Bahnhof?', 'mention': 'Belarussischer Bahnhof'}, {'translation': 'Welche bemerkenswerten Merkmale hat der Weißrussische Bahnhof?', 'mention': 'Weißrussische Bahnhof'}]	en	de
Q1367269_1	Q1367269	['Landmark']	What is the purpose of the Moscow Belorussky railway station?	[{'translation': 'Was ist der Zweck des Belarussischer Bahnhof?', 'mention': 'Belarussischer Bahnhof'}, {'translation': 'Was ist der Zweck des Weißrussischen Bahnhofes?', 'mention': 'Weißrussischen Bahnhofes'}]	en	de
Q1367269_2	Q1367269	['Landmark']	How can one reach the Moscow Belorussky railway station?	[{'translation': 'Wie kann man den Belarussischer Bahnhof erreichen?', 'mention': 'Belarussischer Bahnhof'}, {'translation': 'Wie kann man den Weißrussischen Bahnhof erreichen?', 'mention': 'Weißrussischen Bahnhof'}]	en	de
Q1381934_0	Q1381934	['Landmark']	Who lived in the Ipatiev House?	[{'translation': 'Wer lebte im Ipatjew-Haus?', 'mention': 'Ipatjew-Haus'}]	en	de
Q1381934_1	Q1381934	['Landmark']	Where is the Ipatiev House located?	[{'translation': 'Wo befindet sich das Ipatjew-Haus?', 'mention': 'Ipatjew-Haus'}, {'translation': 'Wo ist das Ipatjew-Haus?', 'mention': 'Ipatjew-Haus'}]	en	de
Q1381934_2	Q1381934	['Landmark']	When was the Ipatiev House built?	[{'translation': 'Wann wurde das Ipatjew-Haus gebaut?', 'mention': 'Ipatjew-Haus'}]	en	de
Q140527_0	Q140527	['Artwork']	What is the genre of The Three Musketeers?	[{'translation': 'Um welches Genre handelt es sich bei Die drei Musketiere?', 'mention': 'Die drei Musketiere'}, {'translation': 'Was ist das Genre von Die drei Musketiere?', 'mention': 'Die drei Musketiere'}]	en	de
Q140527_1	Q140527	['Artwork']	In what year was The Three Musketeers published?	[{'translation': 'In welchem Jahr wurde Die drei Musketiere veröffentlicht?', 'mention': 'Die drei Musketiere'}]	en	de
